"SourceFile","AtlasPage","CellIndex","Row","Column","Width","Height","SHA256","CanonicalVisualSource","ExactDuplicate"
"20.png","1","21","3","5","32","32","B2EC6A3F5C572CC736892FA703A0D5B2E3541D641A709A8AAB54ED98A2FF8F49","20.png","False"
"21.png","1","22","3","6","32","32","25B1ED358E3169BF0B222267166BFD2019A983D574A460FE0F3339AAE16F196F","21.png","False"
"22.png","1","23","3","7","32","32","5B3F17CE8C9C445F737ACAEFA6B4590E168C73A580F49C5347F4E8336022FD38","22.png","False"
"22Alt.png","1","24","3","8","32","32","8FAB592976651A062E6BA86C22F89A9A70ECB12C69F5CAC929DB22C64A2732C1","22Alt.png","False"
"23.png","1","25","4","1","32","32","F588313916127CFF1272852240485889EE372C977D7915D9B4467E53DEE3E3AC","23.png","False"
"24.png","1","26","4","2","32","32","6D63049F250DC071AF1275B075B802BF1420D69705EE1DF4115E602085C1EF70","24.png","False"
"25.png","1","27","4","3","32","32","4E9CD61CBE902025C7340CDA309C662CA427827A9CA0F1CF0870C64880C495FE","25.png","False"
"26.png","1","28","4","4","32","32","8900F04E5B6B4B5B9804FFFF7EE4BCA6794D10A0450B0EC1C8A7D3DBB61A170E","26.png","False"
"27.png","1","29","4","5","32","32","E463A1BAE38569E814EC30362D664B31A1C8CDD52013ADD37756CBABF2B0F563","27.png","False"
"28.png","1","30","4","6","32","32","5B6E54743B64561BCEABB986A36FB3EABAF7FFBA6179D7AFF49D116201AD9413","28.png","False"
"29.png","1","31","4","7","32","32","A2507EA28A86B4BD2B4429AEAA5D9FEDCDEDC19A976E83CC253707C315D5CA72","29.png","False"
